t,μ,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint,Ef (eV)
0.811392314,0.535911602,20,20,64,0.757,0.757,0.232,8.69,0.00321,8.9938,12.9676,12.9676,112.411,594.33,-0.692188
0.882845649,0.41160221,20,20,32,0.757,0.757,0.421,8.86,0.00321,7.881,12.9676,12.9676,58.933,1768.15,1.965824
0.90954461,0.370165746,20,20,28,0.757,0.757,0.449,7.15,0.00321,6.7665,12.9676,12.9676,51.996,2130.15,-1.614565
0.888059304,0.403314917,20,20,35,0.757,0.757,0.385,8.96,0.00321,7.7264,12.9676,12.9676,63.546,1357.75,0.112084896
0.916939281,0.359116022,20,20,30,0.757,0.757,0.449,7.87,0.00321,7.9024,12.9676,12.9676,55.845,1808.15,1.447242
0.89156942,0.397790055,20,20,12,0.757,0.757,1.023,1.74,0.00321,7.6462,12.9676,12.9676,24.305,923.15,0.494616
0.932095302,0.337016575,20,20,30,0.757,0.757,0.479,7.44,0.00321,7.434,12.9676,12.9676,54.938,1519.15,0.338284506
0.902268253,0.38121547,20,20,31,0.757,0.757,0.444,8.91,0.00321,7.6398,12.9676,12.9676,58.693,1726.15,1.297895099
0.775467558,0.68877551,78,78,81,0.242,0.242,0.204,3.59,3.12,5.2117,11.8138,11.8138,137.327,1002.15,-1.511059
0.950665784,0.37755102,78,78,35,0.242,0.242,0.388,7.13,3.12,9.3942,11.8138,11.8138,65.38,692.88,-3.457138
0.870100887,0.505102041,78,78,20,0.242,0.242,0.647,1.54,3.12,6.1132,11.8138,11.8138,40.078,1112.15,-2.655846
0.876040142,0.494897959,78,78,64,0.242,0.242,0.232,8.69,3.12,8.9938,11.8138,11.8138,112.411,594.33,-3.494702
0.948908546,0.380102041,78,78,32,0.242,0.242,0.421,8.86,3.12,7.881,11.8138,11.8138,58.933,1768.15,-0.999397
0.975968675,0.341836735,78,78,28,0.242,0.242,0.449,7.15,3.12,6.7665,11.8138,11.8138,51.996,2130.15,-1.083394
0.954199857,0.37244898,78,78,35,0.242,0.242,0.385,8.96,3.12,7.7264,11.8138,11.8138,63.546,1357.75,-4.482218
0.983447362,0.331632653,78,78,30,0.242,0.242,0.449,7.87,3.12,7.9024,11.8138,11.8138,55.845,1808.15,-0.583735
0.957760304,0.367346939,78,78,12,0.242,0.242,1.023,1.74,3.12,7.6462,11.8138,11.8138,24.305,923.15,-1.711865
0.998753936,0.31122449,78,78,30,0.242,0.242,0.479,7.44,3.12,7.434,11.8138,11.8138,54.938,1519.15,-0.862993129
0.968602874,0.352040816,78,78,31,0.242,0.242,0.444,8.91,3.12,7.6398,11.8138,11.8138,58.693,1726.15,-1.506065335
