t,¦Ì,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint
0.71113971,0.395225464,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,17.4228,10.4513,58.933,1768.15
0.711615432,0.463452566,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,11.8138,17.4228,58.933,1768.15
0.71091184,0.364749082,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,11.8138,10.4513,58.933,1768.15
0.7115033,0.446776612,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,10.4513,17.4228,58.933,1768.15
0.710995544,0.375788146,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,10.4513,11.8138,58.933,1768.15
0.71139661,0.431259045,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,17.4228,12.9676,58.933,1768.15
0.711083014,0.387516255,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,17.4228,10.4513,58.933,1768.15
0.711615432,0.463452566,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,12.9676,17.4228,58.933,1768.15
0.71091184,0.364749082,4,4,32,3.582,3.582,0.421,8.86,4.93,7.881,12.9676,10.4513,58.933,1768.15
0.711436006,0.436950147,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,10.4513,17.4228,58.933,1768.15
0.711049756,0.383033419,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,10.4513,12.9676,58.933,1768.15
0.711294975,0.416783217,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,17.4228,12.9676,58.933,1768.15
0.71117451,0.4,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,17.4228,11.8138,58.933,1768.15
0.7115033,0.446776612,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,12.9676,17.4228,58.933,1768.15
0.710995544,0.375788146,4,4,32,3.582,3.582,0.421,8.86,3.12,7.881,12.9676,11.8138,58.933,1768.15
0.711436006,0.436950147,4,4,32,3.582,3.582,0.421,8.86,0.0017,7.881,11.8138,17.4228,58.933,1768.15
0.711049756,0.383033419,4,4,32,3.582,3.582,0.421,8.86,0.00321,7.881,11.8138,12.9676,58.933,1768.15
0.733242145,0.379603399,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,12.9676,11.8138,51.996,2130.15
0.732014652,0.355437666,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,12.9676,10.4513,51.996,2130.15
0.733650936,0.387843705,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,11.8138,12.9676,51.996,2130.15
0.731654365,0.348504551,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,11.8138,10.4513,51.996,2130.15
0.733002859,0.374825175,4,4,28,3.582,3.582,0.449,7.15,0.00321,6.7665,10.4513,12.9676,51.996,2130.15
0.732235946,0.359731544,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,10.4513,11.8138,51.996,2130.15
0.733242145,0.379603399,4,4,28,3.582,3.582,0.449,7.15,3.12,6.7665,17.4228,11.8138,51.996,2130.15
0.732014652,0.355437666,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,17.4228,10.4513,51.996,2130.15
0.73504953,0.416796267,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,11.8138,17.4228,51.996,2130.15
0.730568389,0.328029376,4,4,28,3.582,3.582,0.449,7.15,4.93,6.7665,11.8138,10.4513,51.996,2130.15
0.734332283,0.4017991,4,4,28,3.582,3.582,0.449,7.15,0.0017,6.7665,10.4513,17.4228,51.996,2130.15
